Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,71.339411,-61.410589,45,top
C2,100n,C_0402_1005Metric,72.160589,-65.410589,135,top
C3,100n,C_0402_1005Metric,83.5,-73.5,-135,top
C4,100n,C_0402_1005Metric,87.839411,-65.410589,45,top
C5,100n,C_0402_1005Metric,80.410589,-57.160589,135,top
C6,10u,C_0603_1608Metric,82.201992,-55.048008,45,top
C7,10n,C_0402_1005Metric,75.089411,-72.589411,135,top
C8,1u,C_0402_1005Metric,74.339411,-73.339411,135,top
C9,1u,C_0402_1005Metric,73.339411,-76.339411,135,top
C10,100n,C_0201_0603Metric,60.5,-35.595,90,top
C11,100n,C_0402_1005Metric,88.839411,-68.589411,-45,top
C12,100n,C_0402_1005Metric,83.589411,-56.660589,45,top
C13,10p,C_0201_0603Metric,73.254003,-70.754003,135,top
C14,10p,C_0201_0603Metric,72.016099,-69.516099,-45,top
C15,22u,C_0603_1608Metric,90.75,-169.875,90,top
C16,22u,C_0603_1608Metric,90.75,-165.175,-90,top
C17,10n,C_0201_0603Metric,101.5,-48.655,90,top
C18,100n,C_0201_0603Metric,97.405,-52.25,0,top
C19,2n2,C_0201_0603Metric,99.155,-45.5,180,top
C20,100n,C_0201_0603Metric,99.095,-53.25,180,top
C21,1000uF,C_Elec_10x10.2,112.5,-137.5,180,top
C22,1000uF,C_Elec_10x10.2,47.5,-137.5,0,top
C23,0.1uF,C_0201_0603Metric,97.655,-168.75,180,top
D1,RED,LED_0603_1608Metric,79,-170.7125,-90,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.45,-50,-90,top
F1,TLC-LSMD300,Fuse_2920_7451Metric,100,-175,0,top
F2,TLC_LSMD050,Fuse_2920_7451Metric,82.5,-157.5,180,top
FB1,120R,L_0603_1608Metric,75.121975,-75.235669,-135,top
IC1,LTC2945CMS#PBF,SOP65P490X110-12N,97.5,-165,90,top
J45,USB_B_Micro,MICROXNJ,80,-34.3,0,top
J55,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical,66.27,-34.92,0,top
J56,Conn_01x02,AMASS_XT60-M_1x02_P7.20mm_Vertical,110.3,-175,0,top
R1,220,R_0201_0603Metric,60.345,-80,0,top
R2,220,R_0201_0603Metric,60.345,-85,0,top
R3,220,R_0201_0603Metric,60.32,-90,0,top
R4,220,R_0201_0603Metric,60.32,-95,0,top
R5,220,R_0201_0603Metric,60.32,-100,0,top
R6,220,R_0201_0603Metric,60.32,-75,0,top
R7,220,R_0201_0603Metric,47.845,-52.5,0,top
R8,220,R_0201_0603Metric,47.845,-57.5,0,top
R9,220,R_0201_0603Metric,47.845,-62.5,0,top
R10,220,R_0201_0603Metric,47.845,-67.5,0,top
R11,220,R_0201_0603Metric,47.845,-72.5,0,top
R12,220,R_0201_0603Metric,47.845,-77.5,0,top
R13,220,R_0201_0603Metric,47.845,-82.5,0,top
R14,220,R_0201_0603Metric,47.845,-87.5,0,top
R15,220,R_0201_0603Metric,47.845,-92.5,0,top
R16,220,R_0201_0603Metric,47.845,-97.5,0,top
R17,220,R_0201_0603Metric,47.845,-102.5,0,top
R18,220,R_0201_0603Metric,47.845,-107.5,0,top
R19,220,R_0201_0603Metric,47.845,-112.5,0,top
R20,220,R_0201_0603Metric,47.845,-117.5,0,top
R21,220,R_0201_0603Metric,47.845,-122.184567,0,top
R22,220,R_0201_0603Metric,47.845,-127.5,0,top
R23,220,R_0201_0603Metric,99.68,-95,180,top
R24,220,R_0201_0603Metric,99.655,-90,180,top
R25,220,R_0201_0603Metric,99.68,-85,180,top
R26,220,R_0201_0603Metric,99.655,-80,180,top
R27,220,R_0201_0603Metric,99.655,-75,180,top
R28,220,R_0201_0603Metric,99.655,-100,180,top
R29,220,R_0201_0603Metric,112.155,-127.5,180,top
R30,220,R_0201_0603Metric,112.155,-122.5,180,top
R31,220,R_0201_0603Metric,112.155,-117.5,180,top
R32,220,R_0201_0603Metric,112.155,-112.5,180,top
R33,220,R_0201_0603Metric,112.155,-107.5,180,top
R34,220,R_0201_0603Metric,112.155,-102.5,180,top
R35,220,R_0201_0603Metric,112.155,-97.5,180,top
R36,220,R_0201_0603Metric,112.155,-92.5,180,top
R37,220,R_0201_0603Metric,112.155,-87.5,180,top
R38,220,R_0201_0603Metric,112.155,-82.5,180,top
R39,220,R_0201_0603Metric,112.155,-77.5,180,top
R40,220,R_0201_0603Metric,112.155,-72.5,180,top
R41,220,R_0201_0603Metric,112.155,-67.5,180,top
R42,220,R_0201_0603Metric,112.155,-62.5,180,top
R43,220,R_0201_0603Metric,112.155,-57.5,180,top
R44,220,R_0201_0603Metric,112.18,-52.5,180,top
R45,10K,R_0201_0603Metric,97,-40.905,90,top
R46,2k2,R_0402_1005Metric,92.078482,-59.171518,-135,top
R47,2k2,R_0402_1005Metric,93.485624,-57.764376,-135,top
R48,2k2,R_0402_1005Metric,98.5,-131.99,90,top
R49,2k2,R_0402_1005Metric,98.5,-135.49,90,top
R50,2k2,R_0402_1005Metric,79,-167.49,-90,top
R51,220,R_0201_0603Metric,70.655,-40,0,top
R52,220,R_0201_0603Metric,70.595,-36.25,180,top
R53,220,R_0201_0603Metric,70.655,-34.75,180,top
R54,220,R_0201_0603Metric,70.595,-37.5,180,top
R55,5k,R_0402_1005Metric,83.03,-96.25,180,top
R56,0.02,R_2512_6332Metric,91.25,-175,180,top
R57,220,R_0201_0603Metric,62.5,-69.25,0,top
R58,220,R_0201_0603Metric,98.75,-58.405,90,top
R59,220,R_0201_0603Metric,74.993952,-55.243952,135,top
R62,2k2,R_0402_1005Metric,92.74,-47,0,top
R63,2k2,R_0402_1005Metric,90.5,-47.01,0,top
